,Partner,Reporter,Trade Flow,Trade Value (US$)
316,canada,germany,export,158477489.0
317,canada,germany,import,297072003.0
318,canada,greece,export,38082149.0
319,canada,greece,import,37705446.0
320,canada,hungary,export,2857000.0
321,canada,hungary,import,5163000.0
322,canada,iceland,export,12297940.0
323,canada,iceland,import,19952497.0
324,canada,ireland,export,39317005.0
325,canada,ireland,import,24860280.0
326,canada,israel,export,10548000.0
327,canada,israel,import,12603000.0
328,canada,italy,export,247638595.0
329,canada,italy,import,336508207.0
330,canada,japan,export,42989814.0
331,canada,japan,import,2828889596.0
332,canada,latvia,export,184545.0
333,canada,latvia,import,1965350.0
334,canada,lithuania,export,516195.0
335,canada,lithuania,import,1551866.0
336,canada,luxembourg,export,226.0
337,canada,luxembourg,import,1026901.0
338,canada,mexico,export,142908188.0
339,canada,mexico,import,789350480.0
340,canada,netherlands,export,101448613.0
341,canada,netherlands,import,49955621.0
342,canada,new zealand,export,246436492.0
343,canada,new zealand,import,68372229.0
344,canada,norway,export,27055798.0
345,canada,norway,import,49369095.0
346,canada,poland,export,39844327.0
347,canada,poland,import,17623834.0
348,canada,portugal,export,18399590.0
349,canada,portugal,import,38903060.0
350,canada,rep. of korea,export,31266921.0
351,canada,rep. of korea,import,354777215.0
352,canada,slovakia,export,711861.0
353,canada,slovakia,import,6027836.0
354,canada,slovenia,export,1216027.0
355,canada,slovenia,import,2461895.0
356,canada,spain,export,84103128.0
357,canada,spain,import,129995491.0
358,canada,sweden,export,29299420.0
359,canada,sweden,import,28086797.0
360,canada,switzerland,export,83679839.0
361,canada,switzerland,import,97414950.0
362,canada,turkey,export,53186311.0
363,canada,turkey,import,312206787.0
364,canada,united kingdom,export,205373999.0
365,canada,united kingdom,import,669070772.0
366,canada,usa,export,16368220724.0
367,canada,usa,import,17103084412.0
368,chile,australia,export,58597069.0
369,chile,australia,import,41583159.0
370,chile,austria,export,327919.0
371,chile,austria,import,25664308.0
372,chile,belgium,export,17172918.0
373,chile,belgium,import,69529422.0
374,chile,brazil,export,193889973.0
375,chile,brazil,import,286270709.0
376,chile,canada,export,99124577.0
377,chile,canada,import,465931404.0
378,chile,china,export,57212159.0
379,chile,china,import,436655329.0
380,chile,czechia,export,3720.0
381,chile,czechia,import,22655998.0
382,chile,denmark,export,4474708.0
383,chile,denmark,import,77646602.0
384,chile,estonia,import,8815471.0
385,chile,finland,export,16754.0
386,chile,finland,import,15331207.0
387,chile,france,export,11886487.0
388,chile,france,import,340916984.0
389,chile,germany,export,14067504.0
390,chile,germany,import,577249900.0
391,chile,greece,export,111058.0
392,chile,greece,import,16192701.0
393,chile,hungary,export,901000.0
394,chile,hungary,import,1149000.0
395,chile,iceland,export,2801609.0
396,chile,iceland,import,2798301.0
397,chile,ireland,export,1653517.0
398,chile,ireland,import,22397126.0
399,chile,israel,export,418000.0
400,chile,israel,import,9749000.0
401,chile,italy,export,18440750.0
402,chile,italy,import,267998100.0
403,chile,japan,export,1230160.0
404,chile,japan,import,1295627696.0
405,chile,latvia,import,2623432.0
406,chile,lithuania,export,52581.0
407,chile,lithuania,import,9948373.0
408,chile,luxembourg,import,1331469.0
409,chile,mexico,export,33197025.0
410,chile,mexico,import,533609223.0
411,chile,netherlands,export,22495672.0
412,chile,netherlands,import,625761826.0
413,chile,new zealand,export,11645354.0
414,chile,new zealand,import,20986282.0
415,chile,norway,export,2197890.0
416,chile,norway,import,66442141.0
417,chile,poland,export,1254437.0
418,chile,poland,import,88230679.0
419,chile,portugal,import,32785989.0
420,chile,rep. of korea,export,3218515.0
421,chile,rep. of korea,import,240288732.0
422,chile,slovakia,export,2.0
423,chile,slovakia,import,6653007.0
424,chile,slovenia,import,5889356.0
425,chile,spain,export,22633758.0
426,chile,spain,import,454744163.0
427,chile,sweden,export,1658028.0
428,chile,sweden,import,22226446.0
429,chile,switzerland,export,6033308.0
430,chile,switzerland,import,27976412.0
431,chile,turkey,export,2168078.0
432,chile,turkey,import,8398131.0
433,chile,united kingdom,export,4287789.0
434,chile,united kingdom,import,407827134.0
435,chile,usa,export,396798817.0
436,chile,usa,import,3231075861.0
437,china,australia,export,650046098.0
438,china,australia,import,570307671.0
439,china,austria,export,6449141.0
440,china,austria,import,98002711.0
441,china,belgium,export,82477522.0
442,china,belgium,import,261361751.0
443,china,brazil,export,118162729.0
444,china,brazil,import,240086290.0
445,china,canada,export,439475277.0
446,china,canada,import,735646901.0
447,china,chile,export,363588614.0
448,china,chile,import,50011174.0
449,china,china,import,22679577.0
450,china,czechia,export,3336574.0
451,china,czechia,import,101077729.0
452,china,denmark,export,272563984.0
453,china,denmark,import,131351634.0
454,china,estonia,export,5110020.0
455,china,estonia,import,12826034.0
456,china,finland,export,26429488.0
457,china,finland,import,23394389.0
458,china,france,export,292878429.0
459,china,france,import,633323727.0
460,china,germany,export,94464438.0
461,china,germany,import,1455901000.0
462,china,greece,export,2950536.0
463,china,greece,import,37093356.0
464,china,hungary,export,1647000.0
465,china,hungary,import,15459000.0
466,china,iceland,export,27526131.0
467,china,iceland,import,2082995.0
468,china,ireland,export,73414937.0
469,china,ireland,import,18982616.0
470,china,israel,export,14428000.0
471,china,israel,import,100250000.0
472,china,italy,export,55922121.0
473,china,italy,import,382455526.0
474,china,japan,export,304396108.0
475,china,japan,import,6723290816.0
476,china,latvia,export,720159.0
477,china,latvia,import,11085568.0
478,china,lithuania,export,227962.0
479,china,lithuania,import,26720447.0
480,china,luxembourg,export,261364.0
481,china,luxembourg,import,3763699.0
482,china,mexico,export,17458692.0
483,china,mexico,import,254715040.0
484,china,netherlands,export,248262859.0
485,china,netherlands,import,619593811.0
486,china,new zealand,export,715001143.0
487,china,new zealand,import,111204206.0
488,china,norway,export,198500836.0
489,china,norway,import,72082489.0
490,china,poland,export,8595219.0
491,china,poland,import,268014892.0
492,china,portugal,export,1187492.0
493,china,portugal,import,67433729.0
494,china,rep. of korea,export,413873652.0
495,china,rep. of korea,import,2551893999.0
496,china,slovakia,export,72673.0
497,china,slovakia,import,31164470.0
498,china,slovenia,export,5413181.0
499,china,slovenia,import,11885927.0
500,china,spain,export,72978989.0
501,china,spain,import,594966207.0
502,china,sweden,export,23926536.0
503,china,sweden,import,107769842.0
504,china,switzerland,export,16369083.0
505,china,switzerland,import,82211776.0
506,china,turkey,export,15194806.0
507,china,turkey,import,79885914.0
508,china,united kingdom,export,66910521.0
509,china,united kingdom,import,678061376.0
510,china,usa,export,2321276092.0
511,china,usa,import,5191710316.0
512,czechia,australia,export,196985.0
513,czechia,australia,import,1989582.0
514,czechia,austria,export,286355765.0
515,czechia,austria,import,249978162.0
516,czechia,belgium,export,219721095.0
517,czechia,belgium,import,59380636.0
518,czechia,brazil,export,12493051.0
519,czechia,brazil,import,81192.0
520,czechia,canada,export,19344145.0
521,czechia,canada,import,2033115.0
522,czechia,chile,export,1886635.0
523,czechia,chile,import,68909.0
524,czechia,china,export,29190454.0
525,czechia,china,import,3789629.0
526,czechia,denmark,export,75980887.0
527,czechia,denmark,import,6588044.0
528,czechia,estonia,export,3591921.0
529,czechia,estonia,import,9545163.0
530,czechia,finland,export,3769187.0
531,czechia,finland,import,20561960.0
532,czechia,france,export,200328161.0
533,czechia,france,import,96071555.0
534,czechia,germany,export,1567867198.0
535,czechia,germany,import,1025525463.0
536,czechia,greece,export,56598561.0
537,czechia,greece,import,10210075.0
538,czechia,hungary,export,225500000.0
539,czechia,hungary,import,251511000.0
540,czechia,iceland,export,285968.0
541,czechia,iceland,import,496299.0
542,czechia,ireland,export,33229647.0
543,czechia,ireland,import,3394735.0
544,czechia,israel,export,5502000.0
545,czechia,israel,import,2647000.0
546,czechia,italy,export,328630398.0
547,czechia,italy,import,126349134.0
548,czechia,japan,export,517604.0
549,czechia,japan,import,22655060.0
550,czechia,latvia,export,5360462.0
551,czechia,latvia,import,6196071.0
552,czechia,lithuania,export,7052902.0
553,czechia,lithuania,import,23823025.0
554,czechia,luxembourg,export,177375.0
555,czechia,luxembourg,import,78171.0
556,czechia,mexico,export,2459174.0
557,czechia,mexico,import,66564.0
558,czechia,netherlands,export,475055658.0
559,czechia,netherlands,import,84149355.0
560,czechia,new zealand,export,1034447.0
561,czechia,new zealand,import,718567.0
562,czechia,norway,export,11166926.0
563,czechia,norway,import,7059429.0
564,czechia,poland,export,935156022.0
565,czechia,poland,import,496460232.0
566,czechia,portugal,export,1879398.0
567,czechia,portugal,import,1910273.0
568,czechia,rep. of korea,export,856735.0
569,czechia,rep. of korea,import,102393.0
570,czechia,slovakia,export,666729480.0
571,czechia,slovakia,import,818748688.0
572,czechia,slovenia,export,5525393.0
573,czechia,slovenia,import,27477995.0
574,czechia,spain,export,314537616.0
575,czechia,spain,import,26152289.0
576,czechia,sweden,export,39442522.0
577,czechia,sweden,import,17958536.0
578,czechia,switzerland,export,31038545.0
579,czechia,switzerland,import,16763850.0
580,czechia,turkey,export,35481160.0
581,czechia,turkey,import,12287273.0
582,czechia,united kingdom,export,60269770.0
583,czechia,united kingdom,import,117763897.0
584,czechia,usa,export,20307135.0
585,czechia,usa,import,11154277.0
586,denmark,australia,export,29933849.0
587,denmark,australia,import,242020125.0
588,denmark,austria,export,53452592.0
589,denmark,austria,import,85824407.0
590,denmark,belgium,export,326322497.0
591,denmark,belgium,import,216188731.0
592,denmark,brazil,export,101213992.0
593,denmark,brazil,import,35724039.0
594,denmark,canada,export,110864720.0
595,denmark,canada,import,50512326.0
596,denmark,chile,export,39565498.0
597,denmark,chile,import,3845829.0
598,denmark,china,export,106606765.0
599,denmark,china,import,373860492.0
600,denmark,czechia,export,23631650.0
601,denmark,czechia,import,74927572.0
602,denmark,estonia,export,26225777.0
603,denmark,estonia,import,60473447.0
604,denmark,finland,export,60416299.0
605,denmark,finland,import,275740305.0
606,denmark,france,export,443796096.0
607,denmark,france,import,513231337.0
608,denmark,germany,export,2722762690.0
609,denmark,germany,import,3286499867.0
610,denmark,greece,export,37808511.0
611,denmark,greece,import,228265167.0
612,denmark,hungary,export,31492000.0
613,denmark,hungary,import,40909000.0
614,denmark,iceland,export,87414168.0
615,denmark,iceland,import,63770836.0
616,denmark,ireland,export,89983271.0
617,denmark,ireland,import,53633260.0
618,denmark,israel,export,5985000.0
619,denmark,israel,import,40041000.0
620,denmark,italy,export,386669311.0
621,denmark,italy,import,1012549356.0
622,denmark,japan,export,1704719.0
623,denmark,japan,import,983804457.0
624,denmark,latvia,export,58122525.0
625,denmark,latvia,import,94659275.0
626,denmark,lithuania,export,57176319.0
627,denmark,lithuania,import,80762349.0
628,denmark,luxembourg,export,1244219.0
629,denmark,luxembourg,import,5023004.0
630,denmark,mexico,export,5237723.0
631,denmark,mexico,import,23621472.0
632,denmark,netherlands,export,1110867102.0
633,denmark,netherlands,import,486008976.0
634,denmark,new zealand,export,110208958.0
635,denmark,new zealand,import,8939078.0
636,denmark,norway,export,558335545.0
637,denmark,norway,import,582504970.0
638,denmark,poland,export,344209784.0
639,denmark,poland,import,639157028.0
640,denmark,portugal,export,9016635.0
641,denmark,portugal,import,128770815.0
642,denmark,rep. of korea,export,359479.0
643,denmark,rep. of korea,import,76518122.0
644,denmark,slovakia,export,2770183.0
645,denmark,slovakia,import,19347212.0
646,denmark,slovenia,export,8544024.0
647,denmark,slovenia,import,10522787.0
648,denmark,spain,export,337505969.0
649,denmark,spain,import,637388214.0
650,denmark,sweden,export,810399727.0
651,denmark,sweden,import,1906120455.0
652,denmark,switzerland,export,45789621.0
653,denmark,switzerland,import,128871207.0
654,denmark,turkey,export,47762746.0
655,denmark,turkey,import,16354852.0
656,denmark,united kingdom,export,381699254.0
657,denmark,united kingdom,import,2284102332.0
658,denmark,usa,export,145191260.0
659,denmark,usa,import,353290653.0
660,estonia,australia,import,157314.0
661,estonia,austria,export,6562770.0
662,estonia,austria,import,5836133.0
663,estonia,belgium,export,22383436.0
664,estonia,belgium,import,8546132.0
665,estonia,brazil,export,6586015.0
666,estonia,canada,export,6857127.0
667,estonia,canada,import,2864436.0
668,estonia,chile,export,4592050.0
669,estonia,chile,import,425336.0
670,estonia,china,export,21701289.0
671,estonia,china,import,3692841.0
672,estonia,czechia,export,5771626.0
673,estonia,czechia,import,4982831.0
674,estonia,denmark,export,70221832.0
675,estonia,denmark,import,22544590.0
676,estonia,estonia,import,908701.0
677,estonia,finland,export,145825979.0
678,estonia,finland,import,96247368.0
679,estonia,france,export,16779447.0
680,estonia,france,import,9044282.0
681,estonia,germany,export,79707439.0
682,estonia,germany,import,41341708.0
683,estonia,greece,export,1363140.0
684,estonia,greece,import,241035.0
685,estonia,hungary,export,16696000.0
686,estonia,hungary,import,830000.0
687,estonia,iceland,export,778974.0
688,estonia,iceland,import,9714089.0
689,estonia,ireland,export,9887633.0
690,estonia,ireland,import,11017.0
691,estonia,israel,export,961000.0
692,estonia,israel,import,116000.0
693,estonia,italy,export,16422293.0
694,estonia,italy,import,12265071.0
695,estonia,japan,export,76638.0
696,estonia,japan,import,3654341.0
697,estonia,latvia,export,143575684.0
698,estonia,latvia,import,137681277.0
699,estonia,lithuania,export,175218905.0
700,estonia,lithuania,import,103510944.0
701,estonia,luxembourg,export,94754.0
702,estonia,luxembourg,import,13677.0
703,estonia,mexico,import,43582.0
704,estonia,netherlands,export,62086345.0
705,estonia,netherlands,import,20325276.0
706,estonia,new zealand,export,696869.0
707,estonia,norway,export,14808002.0
708,estonia,norway,import,8188397.0
709,estonia,poland,export,88977293.0
710,estonia,poland,import,10072666.0
711,estonia,portugal,export,2327669.0
712,estonia,portugal,import,3882020.0
713,estonia,rep. of korea,export,133233.0
714,estonia,rep. of korea,import,253245.0
715,estonia,slovakia,export,1400594.0
716,estonia,slovakia,import,808236.0
717,estonia,slovenia,export,357219.0
718,estonia,slovenia,import,153808.0
719,estonia,spain,export,31691817.0
720,estonia,spain,import,12819260.0
721,estonia,sweden,export,47304604.0
722,estonia,sweden,import,31062464.0
723,estonia,switzerland,export,1259956.0
724,estonia,switzerland,import,6001930.0
725,estonia,turkey,export,2923894.0
726,estonia,turkey,import,5127.0
727,estonia,united kingdom,export,12842396.0
728,estonia,united kingdom,import,2992009.0
729,estonia,usa,export,6898153.0
730,estonia,usa,import,3761499.0
731,finland,australia,export,416532.0
732,finland,australia,import,3457749.0
733,finland,austria,export,19911860.0
734,finland,austria,import,4607648.0
735,finland,belgium,export,187592219.0
736,finland,belgium,import,38856922.0
737,finland,brazil,export,112949761.0
738,finland,brazil,import,188469.0
739,finland,canada,export,12617744.0
740,finland,canada,import,7494415.0
741,finland,chile,export,7141970.0
742,finland,chile,import,195473.0
743,finland,china,export,13935843.0
744,finland,china,import,32917753.0
745,finland,czechia,export,15252445.0
746,finland,czechia,import,7242591.0
747,finland,denmark,export,333773006.0
748,finland,denmark,import,98047503.0
749,finland,estonia,export,109085942.0
750,finland,estonia,import,125912508.0
751,finland,france,export,130035922.0
752,finland,france,import,47505321.0
753,finland,germany,export,591651093.0
754,finland,germany,import,160390615.0
755,finland,greece,export,22608750.0
756,finland,greece,import,24222937.0
757,finland,hungary,export,17091000.0
758,finland,hungary,import,2292000.0
759,finland,iceland,export,7617841.0
760,finland,iceland,import,575054.0
761,finland,ireland,export,23407150.0
762,finland,ireland,import,9704536.0
763,finland,israel,export,8120000.0
764,finland,israel,import,1663000.0
765,finland,italy,export,108788061.0
766,finland,italy,import,16238382.0
767,finland,japan,export,2305162.0
768,finland,japan,import,22510521.0
769,finland,latvia,export,16974783.0
770,finland,latvia,import,20365297.0
771,finland,lithuania,export,22246577.0
772,finland,lithuania,import,35434307.0
773,finland,luxembourg,export,441897.0
774,finland,luxembourg,import,278834.0
775,finland,mexico,export,629271.0
776,finland,mexico,import,223090.0
777,finland,netherlands,export,467892586.0
778,finland,netherlands,import,20457890.0
779,finland,new zealand,export,10468439.0
780,finland,new zealand,import,13572764.0
781,finland,norway,export,151834717.0
782,finland,norway,import,43268802.0
783,finland,poland,export,67488458.0
784,finland,poland,import,34893795.0
785,finland,portugal,export,4239441.0
786,finland,portugal,import,662684.0
787,finland,rep. of korea,export,53652.0
788,finland,rep. of korea,import,22708758.0
789,finland,slovakia,export,10219622.0
790,finland,slovakia,import,1512665.0
791,finland,slovenia,export,20159.0
792,finland,slovenia,import,197479.0
793,finland,spain,export,133371215.0
794,finland,spain,import,19371186.0
795,finland,sweden,export,678099642.0
796,finland,sweden,import,279124197.0
797,finland,switzerland,export,26163469.0
798,finland,switzerland,import,18866117.0
799,finland,turkey,export,11175828.0
800,finland,turkey,import,1977553.0
801,finland,united kingdom,export,74515355.0
802,finland,united kingdom,import,36369588.0
803,finland,usa,export,41262127.0
804,finland,usa,import,75545999.0
805,france,australia,export,51874680.0
806,france,australia,import,94027047.0
807,france,austria,export,198635773.0
808,france,austria,import,303806152.0
809,france,belgium,export,7827885797.0
810,france,belgium,import,6465138864.0
811,france,brazil,export,1248368870.0
812,france,brazil,import,83726051.0
